"MD5-3bedfaa28d00d3fbb37412ac3bc93940"
"1031026"
"MD5-ad7dc752588606290c82c3ef68a76217"
"MD5-911af07ee8146147b773e030b473729e"
"14644306"
"ISI:000181622100007 ER"
"16997621"
"1180912"
""
"1241982"
""
"15994070"
""
""
""
"16160241"
""
"1117966"
"17238303"
"1241962"
"17569576"
""
"17266489"
"15167421"
"17142610"
"15279505"
"16779013"
"14534632"
"10158398"
"ISI:000185129200002 ER"
"320341"
"16779231"
"1189596"
"16785184"
"1242038"
"1291106"
"11098428"
"11889852"
"17008252"
"11022530"
"MD5-8604a823ecd4718de82a887c20900d10"
"ISI:000243067700004 ER"
"2000-13753-006"
""
"17495574"
"16723328"
""
""
"11029844"
"1277677"
"1996-90624-001"
"16779060"
"ISI:000240863900003 ER"
"320301"
"15058410"
"11378981"
"16622168"
"18096328"
"568758"
"9161059"
"ISI:000233473300007 ER"
"1056966"
"ISI:000225003400001 ER"
"1240824"
"17059892"
"MD5-5ef34faba407757357eb1383bced3db1"
"1282825"
"8809276"
""
"16779086"
"16899412"
"586340"
"1324945"
"15027265"
"1008259"
"1280500"
"MD5-13a80ab77055723aae8e9d1e7da3c28d"
"1031085"
"11236191"
"10557870"
"944882"
"17911676"
"10566375"
"309449"
"503445"
"17238408"
"347758"
"2005-13292-002"
"ISI:000227871700002 ER"
"1286221"
"15991762"
"1124693"
"958173"
"1242033"
"503458"
"1241978"
"958198"
"1124703"
""
"1315086"
"587126"
"ISI:000228032900001 ER"
"12481228"
"ISI:000223806300028 ER"
"1182525"
"1241998"
"MD5-e35aeafec1f341437805c6c0b974b3c8"
"ISI:000086503500011 ER"
"ISI:000074147800005 ER"
"MD5-40aeece458853feb9806ec4246c7071d"
"ISI:000086070400007 ER"
"501528"
"584985"
"347655"
"223263"
""
"9060786"
"16704505"
"17238450"
""
"11845761"
"ISI:A1996VL01300015 ER"
"1254984"
"12502156"
"1995-27446-001"
"1031080"
"2000-13753-009"
